Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null	Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null
AFFX-BioB-3_at	10.9878	10.8377	11.2482	10.2684	11.3037	10.8407	10.76	11.2511	11.3568	10.597	10.8791	10.3131	10.5857	10.6601	10.7378	9.5712	10.8882	10.005	10.4394	10.1877		AFFX-BioB-3_at	10.9878	10.8377	11.2482	10.2684	11.3037	10.8407	10.76	11.2511	11.3568	10.597	10.8791	10.3131	10.5857	10.6601	10.7378	9.5712	10.8882	10.005	10.4394	10.1877	
AFFX-BioB-5_at	10.9657	10.7511	11.0802	10.2598	11.2133	10.7339	10.7651	11.1176	11.2044	10.5655	10.7421	10.1377	10.7186	10.5841	10.6325	9.494	10.7504	10.2652	10.3072	10.1963		AFFX-BioB-5_at	10.9657	10.7511	11.0802	10.2598	11.2133	10.7339	10.7651	11.1176	11.2044	10.5655	10.7421	10.1377	10.7186	10.5841	10.6325	9.494	10.7504	10.2652	10.3072	10.1963	
AFFX-BioB-M_at	11.4361	11.299	11.6467	10.8323	11.6274	11.199	11.2057	11.5837	11.6585	11.1313	11.1991	10.6148	11.0764	11.0501	11.1743	9.8778	11.3418	10.6069	10.865	10.749		AFFX-BioB-M_at	11.4361	11.299	11.6467	10.8323	11.6274	11.199	11.2057	11.5837	11.6585	11.1313	11.1991	10.6148	11.0764	11.0501	11.1743	9.8778	11.3418	10.6069	10.865	10.749	
AFFX-BioC-3_at	12.6205	12.3027	12.5864	11.9128	12.6692	12.3521	12.3548	12.719	12.6684	12.0965	12.1931	11.5829	12.1007	12.2562	12.2718	11.051	12.4603	11.9148	12.1148	11.8066		AFFX-BioC-3_at	12.6205	12.3027	12.5864	11.9128	12.6692	12.3521	12.3548	12.719	12.6684	12.0965	12.1931	11.5829	12.1007	12.2562	12.2718	11.051	12.4603	11.9148	12.1148	11.8066	
AFFX-BioC-5_at	12.6412	12.5592	12.8858	11.7854	12.9454	12.4949	12.4203	12.7446	12.7404	12.3302	12.3194	11.686	12.3103	12.2569	12.367	11.2651	12.5382	11.7977	12.0618	11.8386		AFFX-BioC-5_at	12.6412	12.5592	12.8858	11.7854	12.9454	12.4949	12.4203	12.7446	12.7404	12.3302	12.3194	11.686	12.3103	12.2569	12.367	11.2651	12.5382	11.7977	12.0618	11.8386	
AFFX-BioDn-3_at	14.5535	14.4151	14.7422	13.8564	14.8363	14.3569	14.3783	14.8053	14.6101	14.2466	14.3639	13.5942	14.2662	14.2643	14.1984	13.2848	14.3897	13.8741	14.1902	13.8589		AFFX-BioDn-3_at	14.5535	14.4151	14.7422	13.8564	14.8363	14.3569	14.3783	14.8053	14.6101	14.2466	14.3639	13.5942	14.2662	14.2643	14.1984	13.2848	14.3897	13.8741	14.1902	13.8589	
AFFX-BioDn-5_at	13.6743	13.5289	13.8822	12.8959	13.9143	13.5161	13.5227	13.8821	13.7666	13.3333	13.4594	12.6635	13.4496	13.3391	13.3949	12.2985	13.6596	12.8441	13.0432	12.9296		AFFX-BioDn-5_at	13.6743	13.5289	13.8822	12.8959	13.9143	13.5161	13.5227	13.8821	13.7666	13.3333	13.4594	12.6635	13.4496	13.3391	13.3949	12.2985	13.6596	12.8441	13.0432	12.9296	
AFFX-CreX-3_at	16.1171	15.8028	16.1729	15.3551	16.1957	15.8327	16.0055	16.3505	16.1055	15.7041	15.9093	15.1292	15.9022	15.8479	15.7324	15.2366	15.8804	15.3834	15.6171	15.4984		AFFX-CreX-3_at	16.1171	15.8028	16.1729	15.3551	16.1957	15.8327	16.0055	16.3505	16.1055	15.7041	15.9093	15.1292	15.9022	15.8479	15.7324	15.2366	15.8804	15.3834	15.6171	15.4984	
AFFX-CreX-5_at	15.9386	15.7495	16.0716	15.2178	16.0621	15.684	15.7909	16.2156	15.9402	15.5718	15.6994	14.9123	15.6899	15.6073	15.5246	14.9928	15.7597	15.1622	15.4625	15.2994		AFFX-CreX-5_at	15.9386	15.7495	16.0716	15.2178	16.0621	15.684	15.7909	16.2156	15.9402	15.5718	15.6994	14.9123	15.6899	15.6073	15.5246	14.9928	15.7597	15.1622	15.4625	15.2994	
AFFX-DapX-3_at	12.4253	12.3014	11.8276	11.3617	12.1476	11.5833	12.4601	12.8261	11.632	11.9545	11.4838	11.1613	11.9744	11.6313	11.9245	11.5178	11.5508	11.1504	11.0022	11.1429		AFFX-DapX-3_at	12.4253	12.3014	11.8276	11.3617	12.1476	11.5833	12.4601	12.8261	11.632	11.9545	11.4838	11.1613	11.9744	11.6313	11.9245	11.5178	11.5508	11.1504	11.0022	11.1429	
AFFX-DapX-5_at	10.8519	10.378	8.4651	9.9283	10.7937	10.0564	10.6976	11.3584	10.2575	10.266	9.6687	9.6646	10.468	10.0916	10.4481	9.0558	9.3035	9.5963	8.8735	8.8179		AFFX-DapX-5_at	10.8519	10.378	8.4651	9.9283	10.7937	10.0564	10.6976	11.3584	10.2575	10.266	9.6687	9.6646	10.468	10.0916	10.4481	9.0558	9.3035	9.5963	8.8735	8.8179	
AFFX-DapX-M_at	11.6099	11.4717	10.0688	10.652	11.4889	10.7445	11.4636	12.1462	10.6935	11.0079	10.4066	10.4641	11.0157	10.8857	11.1329	10.3526	10.4183	10.4204	10.1928	10.1935		AFFX-DapX-M_at	11.6099	11.4717	10.0688	10.652	11.4889	10.7445	11.4636	12.1462	10.6935	11.0079	10.4066	10.4641	11.0157	10.8857	11.1329	10.3526	10.4183	10.4204	10.1928	10.1935	
AFFX-LysX-3_at	10.0295	9.5695	9.2278	8.815	9.7892	8.6945	9.909	10.2221	8.8203	8.9691	8.476	8.5971	9.3131	8.9544	9.0794	9.0047	8.7166	8.6427	8.6649	8.8188		AFFX-LysX-3_at	10.0295	9.5695	9.2278	8.815	9.7892	8.6945	9.909	10.2221	8.8203	8.9691	8.476	8.5971	9.3131	8.9544	9.0794	9.0047	8.7166	8.6427	8.6649	8.8188	
AFFX-LysX-5_at	7.4779	7.2677	6.2665	6.5584	7.5334	6.8181	7.3949	7.8847	5.9629	7.0851	6.6711	6.2457	7.1055	6.7971	6.9801	6.3719	6.4932	6.6782	6.6079	6.423		AFFX-LysX-5_at	7.4779	7.2677	6.2665	6.5584	7.5334	6.8181	7.3949	7.8847	5.9629	7.0851	6.6711	6.2457	7.1055	6.7971	6.9801	6.3719	6.4932	6.6782	6.6079	6.423	
AFFX-LysX-M_at	8.6324	8.4047	7.8194	7.3	8.1781	7.8515	8.5306	8.95	8.0986	7.9563	7.8393	7.4152	8.4582	8.2108	7.9993	7.8958	7.8087	7.5202	7.5171	7.3018		AFFX-LysX-M_at	8.6324	8.4047	7.8194	7.3	8.1781	7.8515	8.5306	8.95	8.0986	7.9563	7.8393	7.4152	8.4582	8.2108	7.9993	7.8958	7.8087	7.5202	7.5171	7.3018	
AFFX-Mgr-actin-3_at	3.1389	5.8169	2.107	1.7512	4.6537	5.1542	5.4558	3.4336	1.631	2.2607	4.6083	1.2828	4.2045	2.7962	0.4924	1.7213	2.2497	1.8997	2.806	4.2638		
AFFX-Mgr-actin-5_at	5.4889	6.3269	4.0104	5.0994	5.4284	4.8874	3.7347	4.0586	3.9231	5.2081	5.7509	4.8381	3.5801	5.6318	2.239	4.1873	4.5732	5.4617	4.232	4.056		
AFFX-Mgr-actin-M_at	1.9908	1.9698	4.1876	1.9745	2.5043	1.5925	2.2583	2.0993	3.1244	2.7787	5.6884	1.6724	1.4537	2.8459	2.3655	2.201	1.5672	3.5626	2.5673	2.7193		
AFFX-Mgr-ef1a-3_at	2.1324	1.7959	1.7405	1.4038	1.3708	2.5456	3.954	4.5572	2.8375	3.0564	1.8076	1.1509	3.732	1.8241	2.5498	1.9582	5.1179	3.0601	2.4782	1.8588		
AFFX-Mgr-ef1a-3_x_at	2.2155	1.6769	1.8617	2.5814	3.0035	2.4333	2.4462	2.412	0.91	3.0269	3.0881	1.5957	5.5867	1.761	1.5766	2.6519	2.1887	3.0511	1.7828	1.1297		
AFFX-Mgr-ef1a-5_at	4.1469	2.9432	1.5191	1.4286	5.4565	6.5222	5.9026	4.2121	2.2746	4.9084	5.6108	3.0352	5.5676	3.5792	5.0639	4.3363	3.0432	4.523	6.3677	4.5636		
AFFX-Mgr-ef1a-M_at	6.2689	5.4222	3.8256	5.8988	5.7721	4.1892	5.4713	7.3297	4.3468	5.7676	6.0146	2.1212	3.3923	5.1896	2.8359	2.7305	3.4299	3.0011	3.1636	5.37		
AFFX-Mgr-gapdh-3_at	3.5728	3.8169	3.4092	3.0616	1.7719	2.7627	2.9601	1.95	4.6474	5.0485	4.7164	1.6929	5.1659	4.8262	4.5427	2.1382	3.5444	5.3845	4.6463	2.6734		
AFFX-Mgr-gapdh-5_at	3.1877	1.9103	2.9313	2.4419	1.8367	1.3141	3.3046	1.2163	1.3204	2.8268	2.881	1.5649	3.2559	2.0208	4.481	1.5921	1.1208	1.6411	3.5118	2.61		
AFFX-Mgr-gapdh-M_at	0	2.303	1.131	3.6045	5.1746	3.9307	4.04	3.3743	0.2582	5.596	2.492	4.1823	4.5952	5.1343	2.9931	4.0674	3.2567	3.6304	0	0.3182		
AFFX-OS-18SrRNA_s_at	7.0613	12.6156	11.6437	7.4536	10.5715	7.8826	6.5544	13.2699	8.2617	13.1984	7.6652	7.1058	11.0176	7.0186	6.9668	11.6887	13.0299	5.4362	12.7573	12.8147		
AFFX-OS-25SrRNA_s_at	7.7964	11.5853	11.4051	7.0329	10.8544	7.5381	7.0826	12.4346	8.7253	11.8908	9.1523	7.1013	11.1302	8.0419	7.3116	11.3405	11.9319	7.0846	11.5249	11.4915		
AFFX-OS-5.8SrRNA_at	8.3437	8.6688	8.3145	8.8166	9.2997	8.9802	9.5106	9.9529	9.285	9.0884	9.0042	9.021	9.3402	8.6392	9.3043	8.7878	8.8763	7.7294	8.4306	8.4843		
AFFX-Os-actin-3_at	14.1565	12.8907	13.2351	13.3716	13.1351	13.061	13.8304	13.352	13.1266	12.7825	12.7538	12.6195	13.1173	13.1422	13.1961	13.4074	12.5581	13.8539	13.438	13.0414		
AFFX-Os-actin-3_s_at	14.5239	14.3793	14.4243	14.0365	14.2997	14.2205	14.2468	14.077	14.0904	14.1777	14.4852	13.9894	14.0894	14.1361	14.0373	14.2134	14.093	14.48	14.7439	14.5943		
AFFX-Os-actin-5_s_at	11.4706	10.7219	9.8182	11.1408	10.3618	11.2377	10.6427	10.0623	10.4274	10.6177	10.8365	10.5089	10.4737	10.5531	10.2695	10.444	10.1994	11.6704	11.1947	10.9564		
AFFX-Os-actin-M_s_at	12.5658	12.2253	12.0125	12.2559	12.158	12.5591	12.0424	11.6996	11.7964	12.2701	12.3576	11.9915	11.9001	12.2051	11.8217	12.3259	12.1003	12.9648	12.9222	12.8064		
AFFX-Os-ef1a-3_at	3.8503	4.7661	5.8041	3.4602	5.0625	4.6543	4.343	4.2591	5.2336	4.3473	4.7675	4.7141	6.0208	5.8426	4.5412	3.2654	4.4465	4.6535	4.8568	3.7516		
AFFX-Os-ef1a-5_at	6.1842	6.1388	6.5097	5.8205	5.9583	6.4587	6.6355	6.1455	5.6753	5.908	6.427	5.1702	6.4596	6.2487	1.736	6.4871	6.0122	6.1289	6.2006	5.8126		
AFFX-Os-ef1a-M_at	3.9367	1.2638	2.5588	0.6911	2.2202	2.7456	2.3105	3.6927	5.9811	1.8884	0.8877	1.345	2.1597	1.4476	0.2989	3.0466	0.6292	1.6419	1.4727	1.1146		
AFFX-Os-gapdh-3_at	6.1441	4.9918	6.1378	5.5404	6.1539	5.6566	5.8929	6.2098	4.1402	4.7656	6.2028	4.4392	2.5975	2.471	2.8895	2.8666	3.9153	4.9127	4.5895	1.2528		
AFFX-Os-gapdh-5_at	5.6507	2.6168	5.3138	1.7447	5.6652	4.9923	5.2476	5.3705	2.298	4.3495	2.7751	4.2048	5.9456	6.144	2.5941	5.2689	5.1177	4.9639	2.4177	0		
AFFX-Os-gapdh-M_at	4.8434	5.2131	5.6242	5.6367	5.2991	4.9909	6.0177	6.1622	5.1405	1.6235	6.1139	5.1797	5.3931	5.6686	3.7758	2.7191	5.1602	5.8498	3.8304	5.1522		
AFFX-Os-r2-Bs-dap-3_at	12.575	12.6703	12.1707	11.6146	12.5121	12.1468	12.7496	13.1754	12.0595	12.1727	11.92	11.6922	12.184	11.8494	12.1706	11.5596	11.8485	11.4987	11.1869	11.5135		
AFFX-Os-r2-Bs-dap-5_at	11.3014	10.8545	9.0524	10.1871	11.2146	10.439	11.094	11.9249	10.4425	10.778	10.0798	10.1181	10.8967	10.4748	10.7259	9.6468	9.8592	9.8978	9.4715	9.3029		
AFFX-Os-r2-Bs-dap-M_at	12.1561	12.02	10.678	11.6224	12.1432	11.3021	12.0872	12.7	11.511	11.6322	11.0545	11.0365	11.6753	11.5079	11.6877	10.9154	11.127	11.0922	10.8494	10.7493		
AFFX-Os-r2-Bs-lys-3_at	9.6432	9.4106	9.3439	8.6287	9.2501	8.1473	9.5039	9.6566	8.7155	8.9832	8.2857	8.376	8.7442	8.6533	9.0743	8.5862	8.8864	8.4086	8.2255	8.5593		
AFFX-Os-r2-Bs-lys-5_at	8.1622	8.2424	7.9826	6.9318	8.3649	7.9017	7.8692	8.9852	7.5477	8.1322	7.3031	7.0478	7.6121	7.9548	7.993	7.1903	7.3647	7.231	7.1306	7.1661		
AFFX-Os-r2-Bs-lys-M_at	8.7427	8.636	8.1807	7.5309	8.4306	8.1388	8.8256	9.3416	8.1471	8.0721	7.9435	7.7635	8.2298	8.2027	7.9911	7.8616	7.8583	7.535	7.229	7.5279		
AFFX-Os-r2-Bs-phe-3_at	9.6753	9.277	8.6715	8.5919	9.387	8.901	9.6271	10.2328	8.0817	8.7406	8.8248	8.4089	9.0376	8.6949	9.1511	8.5508	8.3357	8.1134	8.2409	8.4218		
AFFX-Os-r2-Bs-phe-5_at	8.5438	8.6208	6.8255	7.5351	8.7215	8.3134	8.5358	9.1122	8.1568	7.8041	7.3292	7.276	8.3772	8.7132	7.3642	7.919	7.499	7.5066	7.5285	7.3682		
AFFX-Os-r2-Bs-phe-M_at	9.8751	9.3579	8.5236	8.8624	9.507	8.9785	9.6222	10.1937	8.9469	9.1473	8.6122	8.2759	9.2738	9.1085	9.0955	8.7004	8.764	8.1949	8.5082	8.3989		
